char,incode,excode
⠀,10240,
⠁,10241,1
⠂,10242,q
⠃,10243,1q
⠄,10244,a
⠅,10245,1a
⠆,10246,qa
⠇,10247,1qa
⠈,10248,1
⠉,10249,12
⠊,10250,2q
⠋,10251,12q
⠌,10252,3a
⠍,10253,12a
⠎,10254,2qa
⠏,10255,12qa
⠐,10256,q
⠑,10257,1w
⠒,10258,qw
⠓,10259,1qw
⠔,10260,wa
⠕,10261,1wa
⠖,10262,qwa
⠗,10263,1qwa
⠘,10264,1q
⠙,10265,12w
⠚,10266,2qw
⠛,10267,12qw
⠜,10268,2wa
⠝,10269,12wa
⠞,10270,2qwa
⠟,10271,12qwa
⠠,10272,a
⠡,10273,1s
⠢,10274,qs
⠣,10275,1qs
⠤,10276,as
⠥,10277,1as
⠦,10278,qas
⠧,10279,1qas
⠨,10280,1a
⠩,10281,12s
⠪,10282,2qs
⠫,10283,12qs
⠬,10284,2as
⠭,10285,12as
⠮,10286,2qas
⠯,10287,12qas
⠰,10288,qa
⠱,10289,1ws
⠲,10290,qws
⠳,10291,1qws
⠴,10292,was
⠵,10293,1was
⠶,10294,qwas
⠷,10295,1qwas
⠸,10296,1qa
⠹,10297,12ws
⠺,10298,2qws
⠻,10299,12qws
⠼,10300,2was
⠽,10301,12was
⠾,10302,2qwaa
⠿,10303,12qwas
⡀,10304,z
⡁,10305,1z
⡂,10306,qz
⡃,10307,1qz
⡄,10308,az
⡅,10309,1az
⡆,10310,qaz
⡇,10311,1qaz
⡈,10312,2z
⡉,10313,12z
⡊,10314,2qz
⡋,10315,12qz
⡌,10316,2az
⡍,10317,12az
⡎,10318,2qaz
⡏,10319,12qaz
⡐,10320,wz
⡑,10321,1wz
⡒,10322,qwz
⡓,10323,1qwz
⡔,10324,waz
⡕,10325,1waz
⡖,10326,qwaz
⡗,10327,1qwaz
⡘,10328,2wz
⡙,10329,12wz
⡚,10330,2qwz
⡛,10331,12qwz
⡜,10332,2waz
⡝,10333,12waz
⡞,10334,2qwaz
⡟,10335,12qwaz
⡠,10336,sz
⡡,10337,1sz
⡢,10338,qsz
⡣,10339,1qsz
⡤,10340,asz
⡥,10341,1asz
⡦,10342,qasz
⡧,10343,1qasz
⡨,10344,2sz
⡩,10345,12sz
⡪,10346,2qsz
⡫,10347,12qsz
⡬,10348,2asz
⡭,10349,12asz
⡮,10350,2qasz
⡯,10351,12qasz
⡰,10352,wsz
⡱,10353,1wsz
⡲,10354,qwsz
⡳,10355,1qwsz
⡴,10356,wasz
⡵,10357,1wasz
⡶,10358,qwasz
⡷,10359,1qwasz
⡸,10360,2wsz
⡹,10361,12wsz
⡺,10362,2qwsz
⡻,10363,12qwsz
⡼,10364,2wasz
⡽,10365,12wasz
⡾,10366,2qwasz
⡿,10367,12qwasz
⢀,10368,z
⢁,10369,1x
⢂,10370,qx
⢃,10371,1qx
⢄,10372,ax
⢅,10373,1ax
⢆,10374,qax
⢇,10375,1qax
⢈,10376,1z
⢉,10377,12x
⢊,10378,2qx
⢋,10379,12qx
⢌,10380,2ax
⢍,10381,12ax
⢎,10382,2qax
⢏,10383,12qax
⢐,10384,qz
⢑,10385,1wx
⢒,10386,qwx
⢓,10387,1qwx
⢔,10388,wax
⢕,10389,1wax
⢖,10390,qwax
⢗,10391,1qwax
⢘,10392,1qx
⢙,10393,12wx
⢚,10394,2qwx
⢛,10395,12qwx
⢜,10396,2wax
⢝,10397,12wax
⢞,10398,2qwax
⢟,10399,12qwax
⢠,10400,az
⢡,10401,1sx
⢢,10402,qsx
⢣,10403,1qsx
⢤,10404,asx
⢥,10405,1asx
⢦,10406,qasx
⢧,10407,1qasx
⢨,10408,1az
⢩,10409,12sx
⢪,10410,2qsx
⢫,10411,12qsx
⢬,10412,2asx
⢭,10413,12asx
⢮,10414,2qasx
⢯,10415,12qasx
⢰,10416,qaz
⢱,10417,1wsx
⢲,10418,qwsx
⢳,10419,1qwsx
⢴,10420,wasx
⢵,10421,1wasx
⢶,10422,qwasx
⢷,10423,1qwasx
⢸,10424,1qaz
⢹,10425,12wsx
⢺,10426,2qwsx
⢻,10427,12qwsx
⢼,10428,2wasx
⢽,10429,12wasx
⢾,10430,2qwasx
⢿,10431,12qwasx
⣀,10432,zx
⣁,10433,1zx
⣂,10434,qzx
⣃,10435,1qzx
⣄,10436,azx
⣅,10437,1azx
⣆,10438,qazx
⣇,10439,1qazx
⣈,10440,2zx
⣉,10441,12zx
⣊,10442,2qzx
⣋,10443,12qzx
⣌,10444,2azx
⣍,10445,12azx
⣎,10446,2qazx
⣏,10447,12qazx
⣐,10448,wzx
⣑,10449,1wzx
⣒,10450,qwzx
⣓,10451,1qwzx
⣔,10452,wazx
⣕,10453,1wazx
⣖,10454,qwazx
⣗,10455,1qwazx
⣘,10456,2wzx
⣙,10457,12wzx
⣚,10458,2qwzx
⣛,10459,12qwzx
⣜,10460,2wazx
⣝,10461,12wazx
⣞,10462,2qwazx
⣟,10463,12qwazx
⣠,10464,szx
⣡,10465,1szx
⣢,10466,qszx
⣣,10467,1qszx
⣤,10468,aszx
⣥,10469,1aszx
⣦,10470,qaszx
⣧,10471,1qaszx
⣨,10472,2szx
⣩,10473,12szx
⣪,10474,2qszx
⣫,10475,12qszx
⣬,10476,2aszx
⣭,10477,12aszx
⣮,10478,2qaszx
⣯,10479,12qaszx
⣰,10480,wszx
⣱,10481,1wszx
⣲,10482,qwszx
⣳,10483,1qwszx
⣴,10484,waszx
⣵,10485,1waszx
⣶,10486,qwaszx
⣷,10487,1qwaszx
⣸,10488,2wszx
⣹,10489,12wszx
⣺,10490,2qwszx
⣻,10491,12qwszx
⣼,10492,2waszx
⣽,10493,12waszx
⣾,10494,2qwaszx
⣿,10495,12qwaszx
